word,times,recordings,suggestion,type,example (recording),example context
mudd,2,1,Rudd | Judd | mud,"check: unusual word, term or non-English",salon-110,"was asked by Rodolfo Peraza, who is from the Mudd Foundation. And you can go and find it at mu"
mindscapes,2,2,minds capes | minds-capes,likely misspelling / mishearing,salon-087,reality to that end I create seen and unseen mindscapes and landscapes.
milan,2,2,Milan | Milano | Ilan,likely misspelling / mishearing,salon-050," recently exhibited in the Mads galleries in Milan, Italy and in the Canary Islands.  Now when "
mes,2,1,yes | met | men,"check: unusual word, term or non-English",salon-068,ctures I took this summer at the museum in Nîmes.  There's a Roman museum in Nîmes. It's wond
mccoys,2,1,McCoy | McCoy's,likely misspelling / mishearing,salon-045,ve art blockchain experience.  Then also the McCoys Jennifer and Kevin McCoy from you know they'
mccluhan's,2,2,,"check: unusual word, term or non-English",salon-048,ou know in other words it's like you know in mccluhan's if you're not into marshall mccluhan he had 
mazelon,2,1,Massillon,"check: unusual word, term or non-English",salon-021,"ommentary back and forth about the nature of mazelon, whether it's something that's astrological "
maritz,2,2,Martin | Marita,"check: unusual word, term or non-English",salon-071,"a good thing.  You know, I'd encourage well, Maritz is the only one here, I believe, who's in an"
marie,2,2,Marie | Maria | Mario,likely misspelling / mishearing,salon-107,ents. And my birth name was Jean Tardy. Jean Marie Tardy. So you'll see a lot of my credit for 
mandel,2,3,Mandela | Manuel | Handel,likely misspelling / mishearing,salon-088,"al guest, moderate moderator here, Malavika. Mandel Andrew, who is here with us from India, with"
malvika,2,2,Malvika,likely misspelling / mishearing,salon-047,nvolved in creating some of that's beautiful malvika
lovin,2,1,loving | login | levin,likely misspelling / mishearing,salon-032,Have Tali from Lovin. Hi. Yeah. And my son's just going to come i
lionfish,2,1,lion fish | lion-fish,likely misspelling / mishearing,interview-013,ir trips to the aquarium photo of course the lionfish and all that good stuff oh yeah you gotta ha
lickley,2,2,likely,"check: unusual word, term or non-English",salon-015,actually this stuff has out on out on my pat lickley underscore art you know kind of triggered me
libris,2,2,Liberia | Libra | lib's,"check: unusual word, term or non-English",salon-103,"cts, including the study of the! The of the!!libris.com. She has been a leading researcher in th"
lawrenceville,2,2,,"check: unusual word, term or non-English",salon-009,ia starts with g and I actually I grew up in lawrenceville and lived in norcross before moving to virgi
kyrgyzstan,2,2,Kyrgyzstan,likely misspelling / mishearing,salon-100,in other exhibitions you can see over in the kyrgyzstan state museum so this is dead exhibition is d
kunz,2,2,kuna | kung | kudzu,"check: unusual word, term or non-English",salon-010,just a little bit distant from that yeah the kunz matrix platform does allow for both a mat an
kobe,2,1,Kobe | lobe | robe,likely misspelling / mishearing,salon-097,"here is my contact information. My email, my kobe, arroba, my kobe at gmail. My handle, Garaba"
kinsella,2,2,kindle | kindles,"check: unusual word, term or non-English",salon-031,", so with that, I'm going to introduce Brett Kinsella, who I met recently on the Zoom, through Sko"
kalani,2,2,kaolin | kaoline,"check: unusual word, term or non-English",salon-059,e that right now so if you all are following kalani nicole's eat works it's a consortium of peop
kaha,2,1,haha | aha | Kahn,"check: unusual word, term or non-English",salon-052,"n Santiago remote. Cynthia D Donato, M.D.: E kaha. Cynthia D Donato, M.D.: drew on curgie cell"
juponese,2,1,Japanese,"check: unusual word, term or non-English",interview-005, was like oh when are you gonna message that juponese guy you know and now and then I actually lik
junksmithing,2,2,,"check: unusual word, term or non-English",salon-067,n they used to.  I don't know if you call it junksmithing. Just like going through all the all the cre
joel,2,2,Joel | Joe | Noel,likely misspelling / mishearing,salon-031, your presentation I appreciate it thank you joel pleasure having you back again all right mov
janelle,2,1,Janelle | jangle,likely misspelling / mishearing,interview-013,r sure music is also really influential like janelle monae's music I think I listened to metropol
jaggedy,2,2,jagged | raggedy | jaggery,likely misspelling / mishearing,salon-070,"ated with, I can see there's learning how to jaggedy line. So that led. So after I'd taken some o"
itunes,2,2,iTunes | tunes | iTunes',likely misspelling / mishearing,salon-015, a remix version as well that will be on the itunes app store a little bit retro making making t
ito,2,2,its | into | Tito,"check: unusual word, term or non-English",salon-057,a. I want some nightmare fuel. Look up Junji Ito and his work. He's a horror manga artist and
intono,2,1,into no | intone | into-no,likely misspelling / mishearing,salon-018," what you're seeing there are what he called intono rumore, or sound generators. And the audienc"
imageet,2,1,image | images | imaged,likely misspelling / mishearing,presentation-007,"ligence. Text image generation, for example, imageet16384. All the media found at the internet ar"
icatch,2,2,catch,likely misspelling / mishearing,salon-042,Nice. Thanks. ICatch is next. And the piece is called Shape Shift
hyperallergic,2,1,hyper allergic | hyper-allergic,likely misspelling / mishearing,salon-059,at came out from... Isa was a Sagetovic from Hyperallergic. And I think it just says it all. And I was 
hubbs,2,1,Hobbs | hubby | hubs,likely misspelling / mishearing,salon-077," So hopefully, that's an introduction to the hubbs, Mozilla, world discussion that's coming up "
hipstomatic,2,1,,"check: unusual word, term or non-English",salon-085,"lideshow today. Oh, here we go.  So the just hipstomatic camera app takes a picture Of what does a na"
hemispherium,2,2,hemispheric,likely misspelling / mishearing,salon-019, on the right here is another slide from the Hemispherium in the UK showing the user inside of the bod
hemifacial,2,1,,"check: unusual word, term or non-English",salon-025,"ike my grandmother Deary.  And Deary has the hemifacial mask, which is a theme in synonyms. But she "
healthoftheplanet,2,2,,"check: unusual word, term or non-English",salon-011,"bout selling.  There's a fashion site that's healthoftheplanet.art. And then my company is called Arternal,"
gullamee,2,1,Gulag | gulag,"check: unusual word, term or non-English",salon-056,"ant to learn more, you can go to my website, gullamee.com, G-U-L-L-A-H-M-E dot C-O-M and click on "
guicci,2,1,Gucci | gucci,likely misspelling / mishearing,salon-036,"al Instagram, like, the game character, but, guicci, with, his, like, personally, like, everyday"
glitchism,2,1,glitches | glitchiest,likely misspelling / mishearing,salon-042,berg was saying the early phones gave way to glitchism. And I pushed and I pulled and I went to the
giclee,2,2,girl | Gill | gill,"check: unusual word, term or non-English",salon-029,"this. And then I'll print them out like as a giclee, glue them to wood, and then repeat the proc"
giacomettis,2,1,Giacometti's,likely misspelling / mishearing,interview-026,o the to moma and I remember seeing my first giacomettis when I was like just barely 40 years old and
geotherapy,2,1,,"check: unusual word, term or non-English",salon-041,"s by 800%.  There's this amazing book called Geotherapy, not geoengineering, but geotherapy. And the"
gbt,2,2,get | got | gut,"check: unusual word, term or non-English",salon-067,", for instance, on ios devices for like chat gbt it's all paid Apps you know they're just usi"
gasless,2,1,gases | gasses | gas-less,likely misspelling / mishearing,salon-033,o test with open see is great because of the gasless minting and I love it. I like that. But then
garageband,2,2,GarageBand | garage band | garage-band,likely misspelling / mishearing,salon-103," reason I like working with Suno rather than GarageBand, which is how I used to make all my music. I"
fud,2,1,fun | food | fed,"check: unusual word, term or non-English",salon-055,ur podcast is that whenever we say bring the fud because we have this aversion whenever peopl
flexus,2,1,Lexus | flexes | plexus,likely misspelling / mishearing,salon-037,s see here. Did some things with some of the Flexus artists and things like that. So I've been a
flavella,2,1,flagella | flabella,likely misspelling / mishearing,salon-021,the movement. It's the same hetero sigma and flavella in the water. But it hadn't been filmed for 
ferrell,2,2,Ferrell | Farrell | Terrell,likely misspelling / mishearing,salon-055,"econd component to it. That's going to be on Ferrell File next month, actually. But no, it's stra"
